Areaname,FIPS,Total_Area_sq_mi_LND010190D,LND010200D,LND110180D,LND110190D,Land_Area_sq_mi_LND110200D,LND110210D,Water_Area_sq_miLND210190D,LND210200D
UNITED STATES,00000,3787425.08,3794083.06,3539289.16,3536341.73,3537438.44,3531905.43,251083.35,256644.62
ALABAMA,01000,52422.94,52419.02,50767.18,50750.23,50744,50645.33,1672.71,1675.01
"Autauga, AL",01001,604.49,604.45,597.04,596.01,595.97,594.44,8.48,8.48
"Baldwin, AL",01003,2027.08,2026.93,1589.42,1596.53,1596.35,1589.78,430.55,430.58
"Barbour, AL",01005,904.59,904.52,883.89,885,884.9,884.88,19.59,19.61
"Bibb, AL",01007,625.5,626.16,624.97,622.36,623.03,622.58,3.14,3.14
"Blount, AL",01009,650.65,650.6,643.3,645.68,645.59,644.78,4.97,5.02
"Bullock, AL",01011,626.11,626.06,624.82,625.07,625.01,622.81,1.04,1.04
"Butler, AL",01013,777.99,777.92,779.14,776.94,776.87,776.83,1.05,1.05
"Calhoun, AL",01015,612.35,612.32,610.96,608.5,608.46,605.87,3.85,3.86
"Chambers, AL",01017,603.15,603.11,595.69,597.4,597.17,596.53,5.75,5.94
"Cherokee, AL",01019,600,599.95,553.31,553.17,553.12,553.7,46.83,46.83
"Chilton, AL",01021,700.8,700.76,694.51,694.06,693.98,692.85,6.74,6.78
"Choctaw, AL",01023,920.91,920.85,909.44,913.58,913.51,913.5,7.33,7.34
"Clarke, AL",01025,1252.6,1252.51,1230.17,1238.47,1238.38,1238.47,14.13,14.13
"Clay, AL",01027,606.05,606,605.06,605.12,605.07,603.96,0.93,0.93
"Cleburne, AL",01029,561.06,561.02,560.67,560.2,560.21,560.1,0.86,0.81
"Coffee, AL",01031,680.52,680.48,680.23,679.19,678.99,678.97,1.33,1.49
"Colbert, AL",01033,623.66,623.61,589.1,594.58,594.53,592.62,29.08,29.08
"Conecuh, AL",01035,852.58,852.51,853.98,850.87,850.79,850.16,1.71,1.71
"Coosa, AL",01037,666.41,666.36,657.18,652.49,652.44,650.93,13.92,13.91
"Covington, AL",01039,1043.95,1043.86,1037.99,1034.73,1033.82,1030.46,9.22,10.05
"Crenshaw, AL",01041,610.91,610.88,610.82,609.62,609.58,608.84,1.29,1.3
"Cullman, AL",01043,754.86,754.82,737.81,738.48,738.43,734.84,16.38,16.39
"Dale, AL",01045,562.72,562.67,561.29,561.12,561.07,561.15,1.6,1.6
"Dallas, AL",01047,993.46,993.37,975.17,980.8,980.71,978.7,12.66,12.66
"DeKalb, AL",01049,778.71,778.65,778.18,777.98,777.91,777.09,0.73,0.74
"Elmore, AL",01051,657.26,657.21,622.45,621.58,621.26,618.49,35.68,35.96
"Escambia, AL",01053,953.04,952.95,950.82,947.47,947.38,945.08,5.57,5.57
"Etowah, AL",01055,548.81,548.75,542.32,534.84,534.82,534.99,13.97,13.93
"Fayette, AL",01057,629.38,629.34,629.63,627.81,627.66,627.66,1.57,1.68
"Franklin, AL",01059,646.55,646.51,642.7,635.68,635.64,633.82,10.87,10.86
